what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1530763508043
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1530763508043
java.vm.version,sysinfo,,,"19.0-b09",1530763508043
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1530763509098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530763509244
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1530763510132
